ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K
51.6182572614108,37.128000164247474,58.81311509380141,0.16557774,DSTC11_development,SCCL,0,128,1e-05,23
51.6182572614108,37.128000164247474,58.81311509380141,0.1655752062797546,DSTC11_development,SCCL,0,128,1e-05,23
49.79253112033195,35.11245721795473,60.59949853780336,0.1776584088802337,DSTC11_development,SCCL,0,128,1e-05,34
52.11618257261412,38.2817560383555,62.27810454067966,0.1788666844367981,DSTC11_development,SCCL,0,128,1e-05,33
51.70124481327802,39.00631645899821,61.32988039752432,0.1715182960033416,DSTC11_development,SCCL,0,128,1e-05,23
47.55186721991701,35.19659259071365,58.69536047683537,0.1778615862131118,DSTC11_development,SCCL,0,128,1e-05,24
52.69709543568465,38.106256572390215,59.19229797712961,0.1768371909856796,DSTC11_development,SCCL,0,128,1e-05,24
49.29460580912863,36.41834201892024,57.71381579468827,0.1516192108392715,DSTC11_development,SCCL,0,128,1e-05,19
49.29460580912863,36.41834201892024,57.71381579468827,0.1516192108392715,DSTC11_development,SCCL,0,128,1e-05,19
49.29460580912863,36.41834201892024,57.71381579468827,0.1516193002462387,DSTC11_development,SCCL,0,128,1e-05,19
49.29460580912863,36.41834201892024,57.71381579468827,0.1516192257404327,DSTC11_development,SCCL,0,128,1e-05,19
51.53526970954356,36.82953004756229,56.67373717626689,0.1520977318286895,DSTC11_development,SCCL,0,128,1e-05,19
51.53526970954356,36.82953004756229,56.67373717626689,0.1520977318286895,DSTC11_development,SCCL,0,128,1e-05,19
51.95020746887968,39.84302273126672,61.41664057092895,0.1833811104297638,DSTC11_development,SCCL,0,128,1e-05,29
55.518672199170126,42.19246206149851,63.69424892265461,0.1742230653762817,DSTC11_development,SCCL,0,128,1e-05,23
51.95020746887968,39.84302273126672,61.41664057092895,0.183381974697113,DSTC11_development,SCCL,0,128,1e-05,29
51.45228215767634,38.40714267367476,60.550091633326055,0.1743158549070358,DSTC11_development,SCCL,0,128,1e-05,24
51.53526970954356,36.82953004756229,56.67373717626689,0.1520977318286895,DSTC11_development,SCCL,0,128,1e-05,19
51.53526970954356,36.82953004756229,56.67373717626689,0.1520977169275283,DSTC11_development,SCCL,0,128,1e-05,19
53.19502074688797,38.758299894792486,61.9037669752196,0.1777700632810592,DSTC11_development,SCCL,0,128,1e-05,27
47.63485477178423,35.25690099038867,58.79531711726715,0.1786663979291916,DSTC11_development,SCCL,0,128,1e-05,24
47.71784232365145,35.23280183078948,61.05573940143727,0.181557685136795,DSTC11_development,SCCL,0,128,1e-05,34
51.53526970954356,36.82953004756229,56.67373717626689,0.1520977318286895,DSTC11_development,SCCL,0,128,1e-05,19
50.788381742738586,36.86360505008992,59.9747616217668,0.1713603734970092,DSTC11_development,SCCL,0,128,1e-05,23
46.39004149377593,32.57210379332833,59.91209804848406,0.1792882829904556,DSTC11_development,SCCL,0,128,1e-05,42
46.47302904564315,32.78339713209126,60.03772050151394,0.179400086402893,DSTC11_development,SCCL,0,128,1e-05,42
51.53526970954356,36.82953004756229,56.67373717626689,0.1520977318286895,DSTC11_development,SCCL,0,128,1e-05,19
47.05394190871369,32.78065958339224,57.162877683095495,0.1577068120241165,DSTC11_development,SCCL,0,128,1e-05,36
47.05394190871369,32.78065958339224,57.162877683095495,0.157706618309021,DSTC11_development,SCCL,0,128,1e-05,36
54.6058091286307,40.68245495464891,62.33048412022464,0.1702831536531448,DSTC11_development,SCCL,0,128,1e-05,26
54.6058091286307,40.68245495464891,62.33048412022464,0.1702893078327179,DSTC11_development,SCCL,0,128,1e-05,26
54.6058091286307,40.68245495464891,62.33048412022464,0.1702900677919387,DSTC11_development,SCCL,0,128,1e-05,26
54.6058091286307,40.68245495464891,62.33048412022464,0.1702830493450164,DSTC11_development,SCCL,0,128,1e-05,26
54.6058091286307,40.68245495464891,62.33048412022464,0.17028316855430603,DSTC11_development,SCCL,0,128,1e-05,26
